Ref,Val,Package,PosX,PosY,Rot,Side
"L5","4.7µH 1.5A","SMD_INDUCTOR_32x25",-81.250000,-30.250000,0.000000,top
"L6","10µH 1A","SMD_INDUCTOR_32x25",-81.250000,-18.750000,0.000000,top
"L7","220r 700mA","R_0603",-13.750000,-1.500000,90.000000,top
"L8","220r 700mA","R_0603",-27.750000,-29.000000,270.000000,top
"L9","220r 700mA","R_0603",-13.750000,-18.000000,270.000000,top
"L10","220r 700mA","R_0603",-27.750000,-45.500000,270.000000,top
"L11","220r 700mA","R_0603",-13.750000,-34.500000,270.000000,top
"L12","4.7µH 1.5A","SMD_INDUCTOR_32x25",-88.750000,-41.250000,180.000000,top
"P1","USB_OTG","USB_Micro-B",-37.500000,-1.750000,0.000000,top
"P11","USB_OTG","USB_Micro-B",-2.000000,-61.250000,270.000000,top
"Q1","IRLML6344","SOT-23",-87.750000,-30.000000,90.000000,top
"Q2","IRLML6344","SOT-23",-87.750000,-23.000000,90.000000,top
"Q3","IRLML6344","SOT-23",-87.750000,-16.000000,90.000000,top
"Q4","IRLML6344","SOT-23",-63.750000,-17.000000,270.000000,top
"R1","120","R_0603",-43.250000,-1.000000,180.000000,top
"R2","1k","R_0603",-21.000000,-67.500000,90.000000,top
"R3","470","R_0603",-9.250000,-33.000000,0.000000,top
"R4","470","R_0603",-9.250000,-49.750000,0.000000,top
"R5","470","R_0603",-9.250000,-38.250000,0.000000,top
"R6","470","R_0603",-9.250000,-21.750000,0.000000,top
"R7","10k","R_0603",-77.250000,-94.000000,0.000000,top
"R8","470","R_0603",-3.500000,-67.000000,0.000000,top
"R9","22","R_0603",-88.000000,-34.000000,0.000000,top
"R10","22","R_0603",-88.000000,-27.000000,0.000000,top
"R11","22","R_0603",-88.000000,-20.000000,0.000000,top
"R12","1k","R_0603",-88.000000,-32.500000,0.000000,top
"R13","1k","R_0603",-88.000000,-25.500000,0.000000,top
"R14","1k","R_0603",-88.000000,-18.500000,0.000000,top
"R15","1k","R_0603",-5.500000,-72.250000,180.000000,top
"R16","1k","R_0603",-11.000000,-97.500000,0.000000,top
"R17","470","R_0603",-9.250000,-16.500000,0.000000,top
"R18","470","R_0603",-9.250000,-5.000000,0.000000,top
"R19","15k","R_0603",-2.000000,-73.000000,180.000000,top
"R20","3.9k","R_0603",-98.500000,-28.250000,0.000000,top
"R21","51k","R_0603",-2.000000,-71.750000,0.000000,top
"R22","3.9k","R_0603",-98.500000,-21.250000,0.000000,top
"R23","120","R_0603",-29.250000,-42.750000,90.000000,top
"R24","120","R_0603",-29.250000,-26.250000,90.000000,top
"R25","120","R_0603",-27.750000,-20.750000,90.000000,top
"R26","120","R_0603",-27.750000,-37.250000,90.000000,top
"R27","249k","R_1206",-56.750000,-73.250000,270.000000,top
"R28","249k","R_1206",-56.750000,-78.000000,270.000000,top
"R29","3.9k","R_0603",-58.500000,-80.000000,270.000000,top
"R30","1k","R_0603",-85.000000,-83.000000,90.000000,top
"R31","120","R_0603",-6.750000,-3.750000,270.000000,top
"R32","249k","R_1206",-61.750000,-73.250000,270.000000,top
"R33","249k","R_1206",-61.750000,-78.000000,270.000000,top
"R34","3.9k","R_0603",-60.000000,-80.000000,270.000000,top
"R35","10k","R_0603",-76.250000,-35.000000,90.000000,top
"R36","10k","R_0603",-30.500000,-20.750000,0.000000,top
"R37","10k","R_0603",-30.500000,-37.250000,0.000000,top
"R38","10k","R_0603",-30.500000,-35.750000,0.000000,top
"R39","10k","R_0603",-30.500000,-19.250000,0.000000,top
"R40","22","R_0603",-63.750000,-13.000000,180.000000,top
"R41","10k","R_0603",-31.500000,-46.250000,0.000000,top
"R42","10k","R_0603",-31.500000,-29.750000,0.000000,top
"R43","10k","R_0603",-33.500000,-47.750000,0.000000,top
"R44","10k","R_0603",-33.500000,-31.250000,0.000000,top
"R45","1k","R_0603",-63.750000,-14.500000,180.000000,top
"R46","470","R_0603",-33.750000,-79.250000,180.000000,top
"R47","15k","R_0603",-30.750000,-26.250000,270.000000,top
"R48","15k","R_0603",-30.750000,-42.750000,270.000000,top
"R49","15k","R_0603",-30.750000,-40.000000,90.000000,top
"R50","15k","R_0603",-30.750000,-23.500000,90.000000,top
"R51","249k","R_1206",-66.750000,-73.250000,270.000000,top
"R52","249k","R_1206",-66.750000,-78.000000,270.000000,top
"R53","3.9k","R_0603",-65.000000,-80.000000,270.000000,top
"R54","15k","R_0603",-36.250000,-47.750000,0.000000,top
"R55","15k","R_0603",-36.250000,-31.250000,0.000000,top
"R56","15k","R_0603",-34.750000,-20.000000,90.000000,top
"R57","15k","R_0603",-34.750000,-36.500000,90.000000,top
"R58","15k","R_0603",-31.000000,-79.250000,0.000000,top
"R59","3.9k","R_0603",-76.250000,-23.500000,90.000000,top
"R60","51k","R_0603",-75.000000,-35.000000,270.000000,top
"R61","1k","R_0603",-58.000000,-18.250000,270.000000,top
"R62","10k","R_0603",-2.250000,-13.250000,180.000000,top
"R63","1k","R_0603",-15.250000,-15.250000,90.000000,top
"R64","10k","R_0603",-9.250000,-12.250000,180.000000,top
"R65","10k","R_0603",-2.250000,-11.250000,180.000000,top
"R66","1k","R_0603",-15.250000,-9.750000,90.000000,top
"R67","10k","R_0603",-9.250000,-8.250000,180.000000,top
"R68","10k","R_0603",-2.250000,-9.250000,180.000000,top
"R69","1k","R_0603",-26.750000,-10.750000,90.000000,top
"R70","10k","R_0603",-9.250000,-10.250000,180.000000,top
"R71","10k","R_0603",-2.250000,-7.250000,180.000000,top
"R72","1k","R_0603",-15.250000,-4.250000,90.000000,top
"R73","10k","R_0603",-9.250000,-6.250000,180.000000,top
"R74","3.9k","R_0603",-98.500000,-14.250000,0.000000,top
"R75","1k","R_0603",-85.000000,-80.250000,90.000000,top
"R76","470","R_0603",-50.000000,-1.500000,270.000000,top
"R77","249k","R_1206",-31.750000,-95.500000,90.000000,top
"R78","249k","R_1206",-31.750000,-90.750000,90.000000,top
"R79","3.9k","R_0603",-31.750000,-86.250000,90.000000,top
"R80","0.003","R_2512",-50.000000,-76.000000,270.000000,top
"R81","0.003","R_2512",-46.000000,-76.000000,270.000000,top
"R82","0.003","R_2512",-42.000000,-76.000000,270.000000,top
"R83","470","R_0603",-55.250000,-1.500000,270.000000,top
"R84","470","R_0603",-33.750000,-78.000000,180.000000,top
"R85","470","R_0603",-60.500000,-1.500000,270.000000,top
"R86","22","R_0603",-37.750000,-29.250000,270.000000,top
"R87","22","R_0603",-37.750000,-45.750000,270.000000,top
"R88","22","R_0603",-37.750000,-37.500000,90.000000,top
"R89","22","R_0603",-37.750000,-21.000000,90.000000,top
"R90","15k","R_0603",-31.000000,-78.000000,0.000000,top
"R91","1k","R_0603",-13.750000,-97.500000,0.000000,top
"R92","15k","R_0603",-11.000000,-96.250000,180.000000,top
"R93","470","R_0603",-37.750000,-26.500000,90.000000,top
"R94","470","R_0603",-37.750000,-43.000000,90.000000,top
"R95","470","R_0603",-37.750000,-23.750000,270.000000,top
"R96","470","R_0603",-37.750000,-40.250000,270.000000,top
"R97","51k","R_0603",-75.000000,-23.500000,270.000000,top
"R98","10k","R_0603",-83.500000,-9.250000,0.000000,top
